species,yeast_ortholog,domain_arch_conservation
D_reri,P33317,Ortholog not conserved
D_reri,P33322,Conserved domain architecture
D_reri,P33327,Ortholog not conserved
D_reri,P33330,Conserved domain architecture
D_reri,P33331,Ortholog not conserved
D_reri,P33334,Ortholog not conserved
D_reri,P33338,Ortholog not conserved
D_reri,P33339,Conserved domain architecture
D_reri,P33411,Ortholog not conserved
D_reri,P33412,Ortholog not conserved
D_reri,P33418,Ortholog not conserved
D_reri,P33750,Ortholog not conserved
D_reri,P33753,Ortholog not conserved
D_reri,P33754,Ortholog not conserved
D_reri,P33755,Gained/swapped domain(s)
D_reri,P33759,Ortholog not conserved
D_reri,P33767,Ortholog not conserved
D_reri,P33892,Gained/swapped domain(s)
D_reri,P33893,Ortholog not conserved
D_reri,P34077,Ortholog not conserved
D_reri,P34078,Ortholog not conserved
D_reri,P34087,Conserved domain architecture
D_reri,P34160,Ortholog not conserved
D_reri,P34167,Ortholog not conserved
D_reri,P34217,Ortholog not conserved
D_reri,P34220,Ortholog not conserved
D_reri,P34222,Ortholog not conserved
D_reri,P34223,Ortholog not conserved
D_reri,P34227,Ortholog not conserved
D_reri,P34240,Ortholog not conserved
D_reri,P34241,Ortholog not conserved
D_reri,P34247,Conserved domain architecture
D_reri,P34248,Ortholog not conserved
D_reri,P34253,Ortholog not conserved
D_reri,P34756,Ortholog not conserved
D_reri,P34909,Ortholog not conserved
D_reri,P35127,Ortholog not conserved
D_reri,P35178,Conserved domain architecture
D_reri,P35179,Conserved domain architecture
D_reri,P35180,Ortholog not conserved
D_reri,P35184,Ortholog not conserved
D_reri,P35187,Ortholog not conserved
D_reri,P35194,Conserved domain architecture
D_reri,P35195,Ortholog not conserved
D_reri,P35201,Ortholog not conserved
D_reri,P35202,Ortholog not conserved
D_reri,P35688,Ortholog not conserved
D_reri,P35691,Ortholog not conserved
D_reri,P35718,Conserved domain architecture
D_reri,P35728,Ortholog not conserved
D_reri,P35729,Ortholog not conserved
D_reri,P36010,Ortholog not conserved
D_reri,P36015,Ortholog not conserved
D_reri,P36016,Ortholog not conserved
D_reri,P36022,Ortholog not conserved
D_reri,P36037,Ortholog not conserved
D_reri,P36039,Ortholog not conserved
D_reri,P36046,Ortholog not conserved
D_reri,P36049,Ortholog not conserved
D_reri,P36051,Conserved domain architecture
D_reri,P36053,Conserved domain architecture
D_reri,P36056,Ortholog not conserved
D_reri,P36059,Ortholog not conserved
D_reri,P36070,Ortholog not conserved
D_reri,P36075,Ortholog not conserved
D_reri,P36078,Ortholog not conserved
D_reri,P36080,Lost domain(s)
D_reri,P36084,Ortholog not conserved
D_reri,P36086,Ortholog not conserved
D_reri,P36095,Conserved domain architecture
D_reri,P36097,Conserved domain architecture
D_reri,P36100,Ortholog not conserved
D_reri,P36102,Ortholog not conserved
D_reri,P36104,Gained/swapped domain(s)
D_reri,P36108,Ortholog not conserved
D_reri,P36112,Lost domain(s)
D_reri,P36113,Ortholog not conserved
D_reri,P36119,Gained/swapped domain(s)
D_reri,P36121,Ortholog not conserved
D_reri,P36126,Ortholog not conserved
D_reri,P36137,Ortholog not conserved
D_reri,P36145,Ortholog not conserved
D_reri,P36146,Ortholog not conserved
D_reri,P36147,Ortholog not conserved
D_reri,P36149,Conserved domain architecture
D_reri,P36152,Ortholog not conserved
D_reri,P36154,Ortholog not conserved
D_reri,P36159,Ortholog not conserved
D_reri,P36160,Conserved domain architecture
D_reri,P36163,Ortholog not conserved
D_reri,P36164,Ortholog not conserved
D_reri,P36421,Ortholog not conserved
D_reri,P36516,Ortholog not conserved
D_reri,P36520,Ortholog not conserved
D_reri,P36523,Ortholog not conserved
D_reri,P36525,Ortholog not conserved
D_reri,P36527,Ortholog not conserved
D_reri,P36528,Conserved domain architecture
D_reri,P36531,Ortholog not conserved
D_reri,P36532,Ortholog not conserved
D_reri,P36775,Ortholog not conserved
D_reri,P37020,Ortholog not conserved
D_reri,P37263,Lost domain(s)
D_reri,P37303,Conserved domain architecture
D_reri,P37366,Ortholog not conserved
D_reri,P37370,Ortholog not conserved
D_reri,P38061,Conserved domain architecture
D_reri,P38071,Ortholog not conserved
D_reri,P38074,Ortholog not conserved
D_reri,P38077,Conserved domain architecture
D_reri,P38120,Conserved domain architecture
D_reri,P38121,Conserved domain architecture
D_reri,P38126,Ortholog not conserved
D_reri,P38138,Ortholog not conserved
D_reri,P38139,Ortholog not conserved
D_reri,P38166,Conserved domain architecture
D_reri,P38169,Ortholog not conserved
D_reri,P38170,Ortholog not conserved
D_reri,P38179,Ortholog not conserved
D_reri,P38182,Ortholog not conserved
D_reri,P38191,Ortholog not conserved
D_reri,P38197,Conserved domain architecture
D_reri,P38198,Ortholog not conserved
D_reri,P38206,Ortholog not conserved
D_reri,P38207,Ortholog not conserved
D_reri,P38211,Conserved domain architecture
D_reri,P38213,Ortholog not conserved
D_reri,P38217,Ortholog not conserved
D_reri,P38221,Ortholog not conserved
D_reri,P38230,Ortholog not conserved
D_reri,P38237,Ortholog not conserved
D_reri,P38241,Gained/swapped domain(s)
D_reri,P38242,Conserved domain architecture
D_reri,P38249,Gained/swapped domain(s)
D_reri,P38250,Ortholog not conserved
D_reri,P38251,Ortholog not conserved
D_reri,P38257,Ortholog not conserved
D_reri,P38261,Conserved domain architecture
D_reri,P38264,Ortholog not conserved
D_reri,P38274,Ortholog not conserved
D_reri,P38281,Ortholog not conserved
D_reri,P38283,Ortholog not conserved
D_reri,P38293,Conserved domain architecture
D_reri,P38297,Ortholog not conserved
D_reri,P38301,Conserved domain architecture
D_reri,P38316,Ortholog not conserved
D_reri,P38319,Conserved domain architecture
D_reri,P38323,Ortholog not conserved
D_reri,P38328,Ortholog not conserved
D_reri,P38329,Ortholog not conserved
D_reri,P38332,Conserved domain architecture
D_reri,P38333,Conserved domain architecture
D_reri,P38334,Ortholog not conserved
D_reri,P38336,Ortholog not conserved
D_reri,P38340,Ortholog not conserved
D_reri,P38342,Ortholog not conserved
D_reri,P38345,Conserved domain architecture
D_reri,P38351,Ortholog not conserved
D_reri,P38356,Ortholog not conserved
D_reri,P38361,Ortholog not conserved
D_reri,P38430,Ortholog not conserved
D_reri,P38431,Ortholog not conserved
D_reri,P38439,Conserved domain architecture
D_reri,P38523,Ortholog not conserved
D_reri,P38624,Ortholog not conserved
D_reri,P38628,Gained/swapped domain(s)
D_reri,P38630,Ortholog not conserved
D_reri,P38632,Ortholog not conserved
D_reri,P38633,Conserved domain architecture
D_reri,P38687,Ortholog not conserved
D_reri,P38688,Gained/swapped domain(s)
D_reri,P38698,Ortholog not conserved
D_reri,P38701,Ortholog not conserved
D_reri,P38705,Conserved domain architecture
D_reri,P38708,Ortholog not conserved
D_reri,P38736,Ortholog not conserved
D_reri,P38737,Ortholog not conserved
D_reri,P38740,Ortholog not conserved
D_reri,P38741,Ortholog not conserved
D_reri,P38744,Conserved domain architecture
D_reri,P38747,Ortholog not conserved
D_reri,P38748,Conserved domain architecture
D_reri,P38750,Ortholog not conserved
D_reri,P38759,Conserved domain architecture
D_reri,P38764,Ortholog not conserved
D_reri,P38768,Ortholog not conserved
D_reri,P38771,Conserved domain architecture
D_reri,P38772,Ortholog not conserved
D_reri,P38782,Conserved domain architecture
D_reri,P38783,Ortholog not conserved
D_reri,P38786,Conserved domain architecture
D_reri,P38791,Ortholog not conserved
D_reri,P38792,Conserved domain architecture
D_reri,P38793,Conserved domain architecture
D_reri,P38795,Ortholog not conserved
D_reri,P38796,Conserved domain architecture
D_reri,P38797,Ortholog not conserved
D_reri,P38798,Lost domain(s)
D_reri,P38803,Ortholog not conserved
D_reri,P38804,Ortholog not conserved
D_reri,P38811,Ortholog not conserved
D_reri,P38812,Ortholog not conserved
D_reri,P38820,Ortholog not conserved
D_reri,P38828,Ortholog not conserved
D_reri,P38829,Ortholog not conserved
D_reri,P38836,Ortholog not conserved
D_reri,P38842,Ortholog not conserved
D_reri,P38843,Ortholog not conserved
D_reri,P38849,Ortholog not conserved
D_reri,P38850,Ortholog not conserved
D_reri,P38852,Ortholog not conserved
D_reri,P38860,Ortholog not conserved
D_reri,P38861,Conserved domain architecture
D_reri,P38862,Ortholog not conserved
D_reri,P38869,Conserved domain architecture
D_reri,P38873,Ortholog not conserved
D_reri,P38874,Ortholog not conserved
D_reri,P38875,Ortholog not conserved
D_reri,P38877,Conserved domain architecture
D_reri,P38878,Ortholog not conserved
D_reri,P38879,Ortholog not conserved
D_reri,P38882,Ortholog not conserved
D_reri,P38886,Ortholog not conserved
D_reri,P38903,Ortholog not conserved
D_reri,P38910,Ortholog not conserved
D_reri,P38912,Ortholog not conserved
D_reri,P38934,Ortholog not conserved
D_reri,P38959,Ortholog not conserved
D_reri,P38961,Ortholog not conserved
D_reri,P38962,Ortholog not conserved
D_reri,P38968,Ortholog not conserved
D_reri,P38987,Ortholog not conserved
D_reri,P38994,Ortholog not conserved
D_reri,P38996,Ortholog not conserved
D_reri,P39007,Ortholog not conserved
D_reri,P39008,Ortholog not conserved
D_reri,P39012,Conserved domain architecture
D_reri,P39079,Ortholog not conserved
D_reri,P39081,Ortholog not conserved
D_reri,P39111,Conserved domain architecture
D_reri,P39515,Ortholog not conserved
D_reri,P39525,Conserved domain architecture
D_reri,P39526,Ortholog not conserved
D_reri,P39682,Ortholog not conserved
D_reri,P39685,Ortholog not conserved
D_reri,P39706,Ortholog not conserved
D_reri,P39721,Conserved domain architecture
D_reri,P39722,Ortholog not conserved
D_reri,P39726,Ortholog not conserved
D_reri,P39727,Conserved domain architecture
D_reri,P39730,Ortholog not conserved
D_reri,P39731,Ortholog not conserved
D_reri,P39744,Ortholog not conserved
D_reri,P39904,Conserved domain architecture
D_reri,P39923,Gained/swapped domain(s)
D_reri,P39929,Ortholog not conserved
D_reri,P39937,Ortholog not conserved
D_reri,P39954,Ortholog not conserved
D_reri,P39956,Ortholog not conserved
D_reri,P39968,Ortholog not conserved
D_reri,P39985,Ortholog not conserved
D_reri,P39994,Conserved domain architecture
D_reri,P39998,Ortholog not conserved
D_reri,P40005,Ortholog not conserved
D_reri,P40007,Ortholog not conserved
D_reri,P40008,Ortholog not conserved
D_reri,P40013,Ortholog not conserved
D_reri,P40015,Ortholog not conserved
D_reri,P40016,Conserved domain architecture
D_reri,P40018,Conserved domain architecture
D_reri,P40019,Ortholog not conserved
D_reri,P40029,Ortholog not conserved
D_reri,P40031,Ortholog not conserved
D_reri,P40032,Ortholog not conserved
D_reri,P40033,Conserved domain architecture
D_reri,P40040,Ortholog not conserved
D_reri,P40051,Conserved domain architecture
D_reri,P40055,Conserved domain architecture
D_reri,P40061,Ortholog not conserved
D_reri,P40078,Conserved domain architecture
D_reri,P40085,Ortholog not conserved
D_reri,P40086,Ortholog not conserved
D_reri,P40087,Ortholog not conserved
D_reri,P40093,Ortholog not conserved
D_reri,P40099,Conserved domain architecture
D_reri,P40151,Conserved domain architecture
D_reri,P40154,Ortholog not conserved
D_reri,P40157,Ortholog not conserved
D_reri,P40160,Ortholog not conserved
D_reri,P40164,Ortholog not conserved
D_reri,P40165,Ortholog not conserved
D_reri,P40206,Conserved domain architecture
D_reri,P40208,Ortholog not conserved
D_reri,P40210,Ortholog not conserved
D_reri,P40217,Conserved domain architecture
D_reri,P40302,Ortholog not conserved
D_reri,P40317,Ortholog not conserved
D_reri,P40318,Ortholog not conserved
D_reri,P40335,Ortholog not conserved
D_reri,P40343,Lost domain(s)
D_reri,P40344,Conserved domain architecture
D_reri,P40347,Ortholog not conserved
D_reri,P40350,Ortholog not conserved
D_reri,P40351,Ortholog not conserved
D_reri,P40359,Conserved domain architecture
D_reri,P40362,Lost domain(s)
D_reri,P40422,Conserved domain architecture
D_reri,P40459,Ortholog not conserved
D_reri,P40460,Ortholog not conserved
D_reri,P40468,Ortholog not conserved
D_reri,P40469,Ortholog not conserved
D_reri,P40477,Ortholog not conserved
D_reri,P40481,Ortholog not conserved
D_reri,P40486,Ortholog not conserved
D_reri,P40492,Conserved domain architecture
D_reri,P40493,Ortholog not conserved
D_reri,P40496,Ortholog not conserved
D_reri,P40498,Ortholog not conserved
D_reri,P40506,Conserved domain architecture
D_reri,P40509,Ortholog not conserved
D_reri,P40513,Ortholog not conserved
D_reri,P40515,Conserved domain architecture
D_reri,P40516,Ortholog not conserved
D_reri,P40517,Ortholog not conserved
D_reri,P40530,Ortholog not conserved
D_reri,P40531,Ortholog not conserved
D_reri,P40541,Ortholog not conserved
D_reri,P40544,Ortholog not conserved
D_reri,P40547,Ortholog not conserved
D_reri,P40554,Ortholog not conserved
D_reri,P40555,Ortholog not conserved
D_reri,P40562,Lost domain(s)
D_reri,P40565,Ortholog not conserved
D_reri,P40566,Ortholog not conserved
D_reri,P40571,Ortholog not conserved
D_reri,P40825,Ortholog not conserved
D_reri,P40850,Ortholog not conserved
D_reri,P40857,Ortholog not conserved
D_reri,P40858,Conserved domain architecture
D_reri,P40957,Conserved domain architecture
D_reri,P40958,Ortholog not conserved
D_reri,P40959,Ortholog not conserved
D_reri,P40960,Ortholog not conserved
D_reri,P40962,Ortholog not conserved
D_reri,P40987,Gained/swapped domain(s)
D_reri,P40988,Ortholog not conserved
D_reri,P40992,Ortholog not conserved
D_reri,P41318,Ortholog not conserved
D_reri,P41543,Ortholog not conserved
D_reri,P41544,Conserved domain architecture
D_reri,P41697,Ortholog not conserved
D_reri,P41733,Ortholog not conserved
D_reri,P41734,Conserved domain architecture
D_reri,P41735,Conserved domain architecture
D_reri,P41800,Ortholog not conserved
D_reri,P41805,Ortholog not conserved
D_reri,P41806,Ortholog not conserved
D_reri,P41807,Ortholog not conserved
D_reri,P41810,Conserved domain architecture
D_reri,P41812,Lost domain(s)
D_reri,P41814,Conserved domain architecture
D_reri,P41819,Ortholog not conserved
D_reri,P41833,Conserved domain architecture
D_reri,P41834,Conserved domain architecture
D_reri,P41895,Ortholog not conserved
D_reri,P41896,Ortholog not conserved
D_reri,P41903,Lost domain(s)
D_reri,P41910,Ortholog not conserved
D_reri,P41940,Ortholog not conserved
D_reri,P42839,Ortholog not conserved
D_reri,P42842,Ortholog not conserved
D_reri,P42844,Ortholog not conserved
D_reri,P42846,Ortholog not conserved
D_reri,P42847,Ortholog not conserved
D_reri,P42935,Ortholog not conserved
D_reri,P42938,Ortholog not conserved
D_reri,P42940,Conserved domain architecture
D_reri,P42941,Conserved domain architecture
D_reri,P42942,Ortholog not conserved
D_reri,P42945,Ortholog not conserved
D_reri,P42948,Ortholog not conserved
D_reri,P42951,Ortholog not conserved
D_reri,P43123,Ortholog not conserved
D_reri,P43124,Conserved domain architecture
D_reri,P43132,Ortholog not conserved
D_reri,P43557,Ortholog not conserved
D_reri,P43558,Ortholog not conserved
D_reri,P43564,Ortholog not conserved
D_reri,P43568,Conserved domain architecture
D_reri,P43571,Ortholog not conserved
D_reri,P43572,Ortholog not conserved
D_reri,P43577,Ortholog not conserved
D_reri,P43583,Ortholog not conserved
D_reri,P43587,Conserved domain architecture
D_reri,P43589,Gained/swapped domain(s)
D_reri,P43594,Ortholog not conserved
D_reri,P43599,Ortholog not conserved
D_reri,P43605,Ortholog not conserved
D_reri,P43607,Ortholog not conserved
D_reri,P43619,Ortholog not conserved
D_reri,P43621,Ortholog not conserved
D_reri,P43636,Ortholog not conserved
D_reri,P45976,Ortholog not conserved
D_reri,P45978,Ortholog not conserved
D_reri,P46669,Ortholog not conserved
D_reri,P46672,Ortholog not conserved
D_reri,P46674,Ortholog not conserved
D_reri,P46675,Ortholog not conserved
D_reri,P46677,Ortholog not conserved
D_reri,P46678,Ortholog not conserved
D_reri,P46680,Gained/swapped domain(s)
D_reri,P46943,Lost domain(s)
D_reri,P46944,Conserved domain architecture
D_reri,P46945,Ortholog not conserved
D_reri,P46947,Conserved domain architecture
D_reri,P46957,Ortholog not conserved
D_reri,P46959,Ortholog not conserved
D_reri,P46961,Conserved domain architecture
D_reri,P46964,Conserved domain architecture
D_reri,P46965,Conserved domain architecture
D_reri,P46969,Ortholog not conserved
D_reri,P46988,Conserved domain architecture
D_reri,P47026,Conserved domain architecture
D_reri,P47039,Ortholog not conserved
D_reri,P47040,Conserved domain architecture
D_reri,P47044,Ortholog not conserved
D_reri,P47045,Ortholog not conserved
D_reri,P47048,Ortholog not conserved
D_reri,P47051,Conserved domain architecture
D_reri,P47054,Ortholog not conserved
D_reri,P47061,Ortholog not conserved
D_reri,P47076,Conserved domain architecture
D_reri,P47077,Gained/swapped domain(s)
D_reri,P47083,Conserved domain architecture
D_reri,P47085,Ortholog not conserved
D_reri,P47088,Conserved domain architecture
D_reri,P47089,Conserved domain architecture
D_reri,P47096,Ortholog not conserved
D_reri,P47104,Ortholog not conserved
D_reri,P47111,Ortholog not conserved
D_reri,P47117,Ortholog not conserved
D_reri,P47119,Conserved domain architecture
D_reri,P47120,Ortholog not conserved
D_reri,P47122,Conserved domain architecture
D_reri,P47123,Conserved domain architecture
D_reri,P47125,Conserved domain architecture
D_reri,P47128,Ortholog not conserved
D_reri,P47131,Ortholog not conserved
D_reri,P47133,Ortholog not conserved
D_reri,P47134,Ortholog not conserved
D_reri,P47140,Ortholog not conserved
D_reri,P47142,Ortholog not conserved
D_reri,P47143,Ortholog not conserved
D_reri,P47145,Ortholog not conserved
D_reri,P47147,Ortholog not conserved
D_reri,P47150,Ortholog not conserved
D_reri,P47154,Ortholog not conserved
D_reri,P47158,Conserved domain architecture
D_reri,P47166,Ortholog not conserved
D_reri,P47170,Ortholog not conserved
D_reri,P47173,Conserved domain architecture
D_reri,P47818,Ortholog not conserved
D_reri,P48015,Ortholog not conserved
D_reri,P48231,Ortholog not conserved
D_reri,P48234,Ortholog not conserved
D_reri,P48237,Ortholog not conserved
D_reri,P48360,Conserved domain architecture
D_reri,P48362,Ortholog not conserved
D_reri,P48363,Conserved domain architecture
D_reri,P48415,Ortholog not conserved
D_reri,P48445,Lost domain(s)
D_reri,P48525,Ortholog not conserved
D_reri,P48527,Conserved domain architecture
D_reri,P48563,Ortholog not conserved
D_reri,P48567,Ortholog not conserved
D_reri,P48581,Conserved domain architecture
D_reri,P48589,Conserved domain architecture
D_reri,P48606,Conserved domain architecture
D_reri,P48743,Ortholog not conserved
D_reri,P48836,Conserved domain architecture
D_reri,P48837,Ortholog not conserved
D_reri,P49017,Ortholog not conserved
D_reri,P49018,Ortholog not conserved
D_reri,P49095,Conserved domain architecture
D_reri,P49167,Ortholog not conserved
D_reri,P49334,Conserved domain architecture
D_reri,P49686,Ortholog not conserved
D_reri,P49775,Ortholog not conserved
D_reri,P49955,Gained/swapped domain(s)
D_reri,P49956,Ortholog not conserved
D_reri,P49957,Ortholog not conserved
D_reri,P50076,Conserved domain architecture
D_reri,P50077,Ortholog not conserved
D_reri,P50113,Conserved domain architecture
D_reri,P50264,Ortholog not conserved
D_reri,P50874,Conserved domain architecture
D_reri,P50875,Ortholog not conserved
D_reri,P51534,Ortholog not conserved
D_reri,P51601,Ortholog not conserved
D_reri,P51998,Ortholog not conserved
D_reri,P52286,Lost domain(s)
D_reri,P52553,Ortholog not conserved
D_reri,P52891,Conserved domain architecture
D_reri,P52918,Ortholog not conserved
D_reri,P52923,Conserved domain architecture
D_reri,P53008,Conserved domain architecture
D_reri,P53010,Conserved domain architecture
D_reri,P53038,Ortholog not conserved
D_reri,P53039,Ortholog not conserved
D_reri,P53040,Ortholog not conserved
D_reri,P53044,Ortholog not conserved
D_reri,P53061,Ortholog not conserved
D_reri,P53063,Lost domain(s)
D_reri,P53064,Conserved domain architecture
D_reri,P53065,Ortholog not conserved
D_reri,P53068,Conserved domain architecture
D_reri,P53070,Conserved domain architecture
D_reri,P53072,Ortholog not conserved
D_reri,P53073,Ortholog not conserved
D_reri,P53081,Ortholog not conserved
D_reri,P53083,Ortholog not conserved
D_reri,P53088,Conserved domain architecture
D_reri,P53093,Ortholog not conserved
D_reri,P53102,Ortholog not conserved
D_reri,P53108,Ortholog not conserved
D_reri,P53112,Ortholog not conserved
D_reri,P53136,Ortholog not conserved
D_reri,P53137,Ortholog not conserved
D_reri,P53145,Ortholog not conserved
D_reri,P53146,Ortholog not conserved
D_reri,P53148,Ortholog not conserved
D_reri,P53152,Ortholog not conserved
D_reri,P53153,Ortholog not conserved
D_reri,P53157,Conserved domain architecture
D_reri,P53163,Ortholog not conserved
D_reri,P53165,Ortholog not conserved
D_reri,P53177,Conserved domain architecture
D_reri,P53178,Conserved domain architecture
D_reri,P53179,Ortholog not conserved
D_reri,P53187,Ortholog not conserved
D_reri,P53192,Ortholog not conserved
D_reri,P53193,Ortholog not conserved
D_reri,P53201,Gained/swapped domain(s)
D_reri,P53215,Conserved domain architecture
D_reri,P53217,Ortholog not conserved
D_reri,P53223,Ortholog not conserved
D_reri,P53227,Ortholog not conserved
D_reri,P53230,Ortholog not conserved
D_reri,P53254,Ortholog not conserved
D_reri,P53255,Gained/swapped domain(s)
D_reri,P53256,Ortholog not conserved
D_reri,P53259,Ortholog not conserved
D_reri,P53261,Conserved domain architecture
D_reri,P53266,Conserved domain architecture
D_reri,P53273,Ortholog not conserved
D_reri,P53275,Ortholog not conserved
D_reri,P53290,Ortholog not conserved
D_reri,P53292,Ortholog not conserved
D_reri,P53297,Ortholog not conserved
D_reri,P53303,Ortholog not conserved
D_reri,P53306,Conserved domain architecture
D_reri,P53312,Ortholog not conserved
D_reri,P53313,Ortholog not conserved
D_reri,P53318,Ortholog not conserved
D_reri,P53320,Ortholog not conserved
D_reri,P53323,Conserved domain architecture
D_reri,P53332,Gained/swapped domain(s)
D_reri,P53333,Ortholog not conserved
D_reri,P53335,Conserved domain architecture
D_reri,P53337,Ortholog not conserved
D_reri,P53397,Ortholog not conserved
D_reri,P53507,Ortholog not conserved
D_reri,P53538,Conserved domain architecture
D_reri,P53550,Conserved domain architecture
D_reri,P53551,Ortholog not conserved
D_reri,P53552,Ortholog not conserved
D_reri,P53598,Conserved domain architecture
D_reri,P53600,Ortholog not conserved
D_reri,P53722,Conserved domain architecture
D_reri,P53723,Ortholog not conserved
D_reri,P53729,Ortholog not conserved
D_reri,P53730,Ortholog not conserved
D_reri,P53731,Conserved domain architecture
D_reri,P53732,Conserved domain architecture
D_reri,P53738,Conserved domain architecture
D_reri,P53741,Ortholog not conserved
D_reri,P53743,Ortholog not conserved
D_reri,P53748,Ortholog not conserved
D_reri,P53769,Conserved domain architecture
D_reri,P53829,Conserved domain architecture
D_reri,P53830,Gained/swapped domain(s)
D_reri,P53840,Ortholog not conserved
D_reri,P53843,Ortholog not conserved
D_reri,P53845,Ortholog not conserved
D_reri,P53846,Conserved domain architecture
D_reri,P53848,Ortholog not conserved
D_reri,P53851,Gained/swapped domain(s)
D_reri,P53852,Ortholog not conserved
D_reri,P53853,Ortholog not conserved
D_reri,P53854,Conserved domain architecture
D_reri,P53855,Ortholog not conserved
D_reri,P53859,Gained/swapped domain(s)
D_reri,P53866,Conserved domain architecture
D_reri,P53868,Conserved domain architecture
D_reri,P53872,Ortholog not conserved
D_reri,P53875,Conserved domain architecture
D_reri,P53877,Gained/swapped domain(s)
D_reri,P53881,Ortholog not conserved
D_reri,P53886,Ortholog not conserved
D_reri,P53889,Ortholog not conserved
D_reri,P53900,Conserved domain architecture
D_reri,P53914,Ortholog not conserved
D_reri,P53915,Ortholog not conserved
D_reri,P53916,Ortholog not conserved
D_reri,P53919,Conserved domain architecture
D_reri,P53923,Ortholog not conserved
D_reri,P53927,Ortholog not conserved
D_reri,P53934,Conserved domain architecture
D_reri,P53942,Ortholog not conserved
D_reri,P53944,Gained/swapped domain(s)
D_reri,P53946,Ortholog not conserved
D_reri,P53954,Ortholog not conserved
D_reri,P53959,Ortholog not conserved
D_reri,P53960,Ortholog not conserved
D_reri,P53961,Conserved domain architecture
D_reri,P53962,Gained/swapped domain(s)
D_reri,P53969,Ortholog not conserved
D_reri,P53971,Ortholog not conserved
D_reri,P53972,Ortholog not conserved
D_reri,P53973,Ortholog not conserved
D_reri,P53980,Ortholog not conserved
D_reri,P54000,Ortholog not conserved
D_reri,P54730,Ortholog not conserved
D_reri,P54787,Ortholog not conserved
D_reri,P54791,Gained/swapped domain(s)
D_reri,P54839,Ortholog not conserved
D_reri,P54857,Ortholog not conserved
D_reri,P54858,Ortholog not conserved
D_reri,P54860,Ortholog not conserved
D_reri,P61829,Ortholog not conserved
D_reri,P69771,Ortholog not conserved
D_reri,P80210,Ortholog not conserved
D_reri,P80235,Ortholog not conserved
D_reri,P80667,Ortholog not conserved
D_reri,P89102,Ortholog not conserved
D_reri,P89105,Gained/swapped domain(s)
D_reri,P89114,Conserved domain architecture
D_reri,Q00362,Ortholog not conserved
D_reri,Q00539,Ortholog not conserved
D_reri,Q00578,Ortholog not conserved
D_reri,Q00582,Ortholog not conserved
D_reri,Q00684,Ortholog not conserved
D_reri,Q01080,Conserved domain architecture
D_reri,Q01159,Gained/swapped domain(s)
D_reri,Q01329,Ortholog not conserved
D_reri,Q01454,Ortholog not conserved
D_reri,Q01476,Ortholog not conserved
D_reri,Q01519,Ortholog not conserved
D_reri,Q01532,Conserved domain architecture
D_reri,Q01560,Ortholog not conserved
D_reri,Q01662,Ortholog not conserved
D_reri,Q01846,Ortholog not conserved
D_reri,Q01852,Ortholog not conserved
D_reri,Q01976,Ortholog not conserved
D_reri,Q02197,Ortholog not conserved
D_reri,Q02199,Ortholog not conserved
D_reri,Q02207,Gained/swapped domain(s)
D_reri,Q02256,Ortholog not conserved
D_reri,Q02336,Ortholog not conserved
D_reri,Q02354,Ortholog not conserved
D_reri,Q02457,Ortholog not conserved
D_reri,Q02521,Ortholog not conserved
D_reri,Q02608,Ortholog not conserved
D_reri,Q02647,Ortholog not conserved
D_reri,Q02767,Ortholog not conserved
D_reri,Q02770,Ortholog not conserved
D_reri,Q02775,Ortholog not conserved
D_reri,Q02799,Ortholog not conserved
D_reri,Q02821,Ortholog not conserved
D_reri,Q02873,Ortholog not conserved
D_reri,Q02883,Ortholog not conserved
D_reri,Q02884,Ortholog not conserved
D_reri,Q02889,Conserved domain architecture
D_reri,Q02892,Conserved domain architecture
D_reri,Q02895,Ortholog not conserved
D_reri,Q02908,Conserved domain architecture
D_reri,Q02931,Gained/swapped domain(s)
D_reri,Q02939,Ortholog not conserved
D_reri,Q02948,Ortholog not conserved
D_reri,Q02979,Ortholog not conserved
D_reri,Q03018,Conserved domain architecture
D_reri,Q03048,Ortholog not conserved
D_reri,Q03067,Ortholog not conserved
D_reri,Q03071,Ortholog not conserved
D_reri,Q03102,Ortholog not conserved
D_reri,Q03103,Ortholog not conserved
D_reri,Q03104,Ortholog not conserved
D_reri,Q03151,Ortholog not conserved
D_reri,Q03162,Ortholog not conserved
D_reri,Q03195,Conserved domain architecture
D_reri,Q03201,Ortholog not conserved
D_reri,Q03246,Conserved domain architecture
D_reri,Q03254,Gained/swapped domain(s)
D_reri,Q03262,Ortholog not conserved
D_reri,Q03290,Conserved domain architecture
D_reri,Q03305,Conserved domain architecture
D_reri,Q03308,Ortholog not conserved
D_reri,Q03322,Ortholog not conserved
D_reri,Q03323,Ortholog not conserved
D_reri,Q03330,Ortholog not conserved
D_reri,Q03337,Conserved domain architecture
D_reri,Q03338,Ortholog not conserved
D_reri,Q03375,Ortholog not conserved
D_reri,Q03390,Ortholog not conserved
D_reri,Q03406,Ortholog not conserved
D_reri,Q03429,Ortholog not conserved
D_reri,Q03496,Ortholog not conserved
D_reri,Q03529,Ortholog not conserved
D_reri,Q03554,Ortholog not conserved
D_reri,Q03557,Conserved domain architecture
D_reri,Q03630,Ortholog not conserved
D_reri,Q03653,Ortholog not conserved
D_reri,Q03656,Ortholog not conserved
D_reri,Q03660,Ortholog not conserved
D_reri,Q03667,Ortholog not conserved
D_reri,Q03690,Ortholog not conserved
D_reri,Q03697,Ortholog not conserved
